Leak#,Latitude,Longitude,Base,COF,POF,Subway,Tree,GW,Soil,Total
91,37.5568841,127.1662806,0.032295464698450495,0.39,0.42,0.0,0.0,2.7,0.0,3.5422954646984506
92,37.53130506,127.1340692,0.18242552380635635,0.465,1.0,0.0,0.0,2.7,0.0,4.347425523806357
93,37.5466994,127.12382,0.02931223075135632,0.723,1.0,0.0,0.0,2.7,0.0,4.452312230751357
94,37.53256186,127.1422044,0.005486298899450404,0.465,0.42,0.0,0.0,2.7,0.0,3.5904862988994504
95,37.5287198,127.1426131,0.9997965730219448,0.39,1.0,0.0,0.0,2.7,0.0,5.089796573021945
96,37.53901139,127.137552,0.18242552380635635,0.465,1.0,0.0,0.0,2.7,0.0,4.347425523806357
97,37.5454573,127.123302,0.18242552380635635,0.465,1.0,0.0,0.0,2.7,0.0,4.347425523806357
98,37.55266355,127.1561083,0.998498817743263,0.465,1.0,0.0,0.0,2.7,0.0,5.163498817743263
99,37.53545692,127.1403422,0.6224593312018546,0.39,1.0,0.0,0.0,2.7,0.0,4.712459331201854
100,37.53799364,127.1249257,0.998498817743263,0.54,1.0,0.0,0.0,2.7,0.0,5.238498817743263
