X,Y,GU_NM,HNR_NAM,MTC_AT,MASTERNO,SLAVENO,NEADRES_NM,TRE_SOM,THT_HG,RM,MGE_LVL,LC,EVMT_IFNE,PLT_DE,RPRUNG_CN,ROAD_LT,ETC,GU_NO,DONG_NM,ETRC_YNO,SN,RPLNT_CN,ITM_ERY,BHT_DM,RNK_LC_CN,WTRTB_BT,EXT_YNO,MGE_ORG,DME_ETT,CMFE_LU_ST,DSPRVN_CN,MGE_MTE,MNCXPN_CT,TRE_IDN,TFCLNE_CO,PTN_CVR,WIDTH_NM,VAL_LVL,RNK_BHT_HG,WDPT_NM,CREAT_DE,PO_FE_NM
127.1556668,37.56887477,강동구,,,,,,8,5,,2,올림픽대로,0,,,0,,25,,2,0,,6,8,12,4,0,푸른도시과,2,0,,0,,25-올림픽대로-가-0576,0,1,올림픽대로,0,3,느티나무,,
127.1346848,37.53535999,강동구,,,,,,8,4,,2,,0,,,0,,25,,2,0,,6,12,12,2,0,푸른도시과,2,0,,0,,25-천호대로-가-0418,0,1,천호대로,0,3,느티나무,,
127.1265946,37.55833596,강동구,,,,,,8,7,,2,올림픽대로,0,,,0,,25,,2,0,,6,18,9,2,0,푸른도시과,2,0,"0728흰불,방패",0,,25-올림픽대로-가-0258,0,1,올림픽대로,0,3,느티나무,,
127.1237759,37.55361727,강동구,,,,,,8,7,,2,올림픽대로,0,,,0,,25,,2,1015,,6,20,9,4,0,푸른도시과,2,0,,0,,25-올림픽대로-가-1015,0,1,올림픽대로,0,3,느티나무,,
127.1277488,37.53712324,강동구,,,,,,8,5,,2,,0,,,0,,25,,2,0,,6,12,12,3,0,푸른도시과,2,0,,0,,25-천호대로-가-0537,0,1,천호대로,0,3,느티나무,,
127.1690485,37.55698104,강동구,,,,,,8,7,,2,,0,,,0,,25,,2,1323,,6,15,9,3,0,푸른도시과,2,0,0806흰불,0,,25-고덕동길-가-1323,0,1,고덕동길,0,3,느티나무,,
127.1273383,37.55945787,강동구,,,,,,8,6,,2,올림픽대로,0,,,0,,25,,1,0,,6,12,9,2,0,푸른도시과,2,0,"0728흰불,방패",0,,25-올림픽대로-가-0285,0,1,올림픽대로,0,3,느티나무,,
127.1662995,37.55664899,강동구,,,,,,8,7,,2,,0,,,0,,25,,2,1264,,6,10,9,3,0,푸른도시과,2,0,0806흰불,0,,25-고덕동길-가-1264,0,1,고덕동길,0,3,느티나무,,
127.123642,37.55325261,강동구,,,,,,8,7,,2,올림픽대로,0,,,0,,25,,2,0,,6,20,9,4,0,푸른도시과,2,0,,0,,25-올림픽대로-가-1012,0,1,올림픽대로,0,3,느티나무,,
127.1317219,37.5642579,강동구,,,,,,8,3,,2,올림픽대로,0,,,0,,25,,2,0,,6,8,12,2,0,푸른도시과,2,0,,0,,25-올림픽대로-가-1124,0,1,올림픽대로,0,3,느티나무,,
127.1365554,37.56650118,강동구,,,,,,8,3,,2,올림픽대로,0,,,0,,25,,2,710,,6,8,12,2,0,푸른도시과,2,0,"0728흰불,방패",0,,25-올림픽대로-가-0710,0,1,올림픽대로,0,3,느티나무,,
127.1637242,37.55631691,강동구,,,,,,8,7,,2,,0,,,0,,25,,2,1211,,6,15,9,3,0,푸른도시과,2,0,0817흰불,0,,25-고덕동길-가-1211,0,1,고덕동길,0,3,느티나무,,
127.1495264,37.56672146,강동구,,,,,,8,4,,2,올림픽대로,0,,,0,,25,,2,0,,6,8,12,3,0,푸른도시과,2,0,,0,,25-올림픽대로-가-1248,0,1,올림픽대로,0,3,느티나무,,
127.155214,37.5690541,강동구,,,,,,8,4,,2,올림픽대로,0,,,0,,25,,2,0,,6,8,12,3,0,푸른도시과,2,0,,0,,25-올림픽대로-가-1321,0,1,올림픽대로,0,3,느티나무,,
127.1361078,37.56661153,강동구,,,,,,8,3,,2,올림픽대로,0,,,0,,25,,2,0,,6,7,12,2,0,푸른도시과,2,0,,0,,25-올림픽대로-가-1162,0,1,올림픽대로,0,3,느티나무,,
127.1299692,37.56288179,강동구,,,,,,8,3,,2,올림픽대로,0,,,0,,25,,2,0,,6,7,12,2,0,푸른도시과,2,0,,0,,25-올림픽대로-가-1105,0,1,올림픽대로,0,3,느티나무,,
127.1556278,37.56923996,강동구,,,,,,8,4,,2,올림픽대로,0,,,0,,25,,2,0,,6,8,12,3,0,푸른도시과,2,0,,0,,25-올림픽대로-가-1326,0,1,올림픽대로,0,3,느티나무,,
127.1709995,37.55716859,강동구,,,,,,8,7,,2,,0,,,0,,25,,2,0,,6,12,9,3,0,푸른도시과,2,0,0817흰불,0,,25-고덕동길-가-1358,0,1,고덕동길,0,3,느티나무,,
127.1367396,37.56656932,강동구,,,,,,8,3,,2,올림픽대로,0,,,0,,25,,2,0,,6,8,12,2,0,푸른도시과,2,0,"0728흰불,방패",0,,25-올림픽대로-가-0707,0,1,올림픽대로,0,3,느티나무,,
127.1699887,37.55728004,강동구,,,,,,8,7,,2,,0,,,0,,25,,2,28,,6,9,9,3,0,푸른도시과,2,0,0806흰불,0,,25-고덕동길-가-0028,0,1,고덕동길,0,3,느티나무,,
127.1543116,37.56823709,강동구,,,,,,8,5,,2,올림픽대로,0,,,0,,25,,2,0,,6,7,12,4,0,푸른도시과,2,0,,0,,25-올림픽대로-가-0563,0,1,올림픽대로,0,3,느티나무,,
127.1333551,37.56490958,강동구,,,,,,8,3,,2,올림픽대로,0,,,0,,25,,2,0,,6,8,12,2,0,푸른도시과,2,0,"0728흰불,방패",0,,25-올림픽대로-가-0763,0,1,올림픽대로,0,3,느티나무,,
127.1703123,37.55727139,강동구,,,,,,8,7,,2,,0,,,0,,25,,2,0,,6,11,9,3,0,푸른도시과,2,0,0806흰불,0,,25-고덕동길-가-0020,0,1,고덕동길,0,3,느티나무,,
127.1598252,37.55590272,강동구,,,,,,8,7,,2,,0,,,0,,25,,2,0,,6,14,9,3,0,푸른도시과,2,0,0817흰불,0,,25-고덕동길-가-0249,0,1,고덕동길,0,3,느티나무,,
127.146444,37.52326962,강동구,,,,,,8,5,,2,,0,,,0,,25,,2,0,,6,18,12,2,0,푸른도시과,2,0,0712응애,0,,25-방아다리길-가-1362,0,1,방아다리길,0,3,느티나무,,
